MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0.27788394300760144,0.18285612798754847,260.8901162147522,5,1,3,111.66609048843384
0.483934412461158,0.022600823781491197,254.2955276966095,5,1,3,101.32919073104858
0.30978912121319696,0.14600818415861894,262.15742588043213,5,1,3,105.07707452774048
0.10869885646692996,0.2332939848953275,263.7678952217102,5,1,3,109.03334403038025
0.09585087976761938,0.22574758284023777,262.51211953163147,5,1,3,108.29631900787354
0.13945201251520145,0.3411562280538123,262.78000044822693,5,1,3,103.13356232643127
0.14994154330120466,0.5590827885103191,266.3744385242462,5,1,3,105.17126202583313
0.3214047262379164,0.09028576556316914,264.93539810180664,5,1,3,108.85186910629272
0.3262828326598053,0.017745857091984507,263.8050858974457,5,1,3,106.65309000015259
0.3210942253469577,0.02957627432183496,276.7903573513031,5,1,3,107.88268303871155
0.1314736933819943,0.6133892382727495,465.5802552700043,5,2,5,192.05623626708984
0.16625539214258883,0.6642150689478111,469.6432466506958,5,2,5,188.0976312160492
0.20738839708894763,0.42829498621245,462.3219690322876,5,2,5,190.49336338043213
0.12239538732422563,0.13668567699146117,462.8222954273224,5,2,5,188.64347076416016
0.11580332128082636,0.06457821113189322,464.03239393234253,5,2,5,188.28147649765015
0.15652389385994472,0.260499789351199,453.4309732913971,5,2,5,191.3664357662201
0.10542646283182598,0.6899835696925514,463.90082240104675,5,2,5,192.0096950531006
0.2658792526389308,0.24744684498504554,462.8857042789459,5,2,5,191.1017816066742
0.11075894448740199,0.6665670970182436,471.6806755065918,5,2,5,191.09216570854187
0.14345134005989926,0.5664556604092419,440.533579826355,5,2,5,185.17389702796936
0.10891148386499216,0.6797355375455182,646.9571485519409,5,3,7,259.22171688079834
